survey_date,response_date,total_spend,spend_reported,seating_segment,member_segment,feedback,has_feedback,primary_theme,sentiment
39:19.0,17:51.0,101.6,true,General,YES,I hold four seats. I only used three tickets the last game so we would have some room to stretch out. Two people were sitting no in there correct seats and one was part of my set of 4 I did not say anything as to not kill the vibes. Just not cool that people decide to sit where ever they want.,true,Other / unclassified,negative
09:50.0,50:05.0,119.0,true,General,UNKNOWN,Naur,true,Other / unclassified,neutral
58:31.0,06:30.0,,false,Unknown,UNKNOWN,"Energy of the game was incredible and staff members were wonderful. Parking was absolutely terrible to navigate. We arrived 1.5 hours before kick off and it took us until half time to find parking off-site because at that point we were being told after sitting in lines for hours, that all parking lots were full. It was extremely frustrating as we visited from out of state to attend this game. Really enjoyed what we were able to see, however the lines for parking (and food) made the experience very dissatisfying.",true,Parking and transportation,
09:50.0,26:46.0,350.0,true,General,UNKNOWN,No,false,Other / unclassified,neutral
58:31.0,33:49.0,,false,Unknown,UNKNOWN,"The mens bathroom by section 121 the lights were out the entire game , parking signage could have been a lot better.",true,Parking and transportation,negative
17:48.0,11:07.0,,false,Unknown,NO,Obstructing the view of seats that are closer to the field. They need to sit down.,true,Other / unclassified,negative
58:31.0,50:18.0,,false,Unknown,UNKNOWN,The women's bathroom didn't have toilet paper in most stalls,true,Restrooms,negative
09:50.0,08:23.0,399.0,true,Floor/Pit,UNKNOWN,Please move floor signage before the show starts. It was obstructing view for quite a bit.,true,Entry and wayfinding,negative
39:19.0,54:09.0,169.48,true,General,YES,Cheaper parking plz.,true,Parking and transportation,negative
58:31.0,49:46.0,,false,Unknown,UNKNOWN,It would be more helpful if there were staff directing guests where to go. We couldnâ€™t find any help inside the stadium other than the vendors and people working the stands.,true,Staff and service,negative
09:50.0,54:41.0,298.5,true,General,UNKNOWN,"No, my experience was great for it being the first time, keep up the good work.",true,Other / unclassified,positive
